sku_id,item_name,unit,sale_price,category,active
SKU-0001,420 Chana Papad 200g,piece,84.0,Papad,true
SKU-0002,420 Punjabi Masala Papad 200g,piece,92.38,Papad,true
SKU-0003,"50g,100g&250g Goli Dana  Bottles",piece,0.0,Other,true
SKU-0004,6pc Assorted Pickles/chutney Combo Jar (50g),piece,210.0,Pickle,true
SKU-0005,Aam Papad Bites Plain Pouch (150g),piece,85.0,Papad,true
SKU-0006,Aam Papad Bites Plain Pouch (250g),piece,130.0,Papad,true
SKU-0007,Aam Papad Bites Plain Pouch (500g),piece,250.0,Papad,true
SKU-0008,Adrak Pickle (Kg),kg,340.0,Pickle,true
SKU-0009,Aloo Papad Box (250g),piece,0.0,Papad,true
SKU-0010,Ambar Pickle(Kg),kg,320.0,Pickle,true
SKU-0011,Amla Anardana Bottle (125g),piece,110.0,Other,true
SKU-0012,Amla Candy (Kg),kg,460.0,Other,true
SKU-0013,Amla Candy Anardana(Kg),kg,476.19,Other,true
SKU-0014,Amla Candy Bottle (250g),piece,180.0,Other,true
SKU-0015,Amla Candy Khatti Meethi (Kg),kg,460.0,Other,true
SKU-0016,Amla Chatpati Candy Bottle (250g),piece,180.0,Other,true
SKU-0017,Amla Kaju Barfi Bar-200g (N ),piece,110.0,Sweets,true
SKU-0018,Amla Murabba (Kg),kg,244.0,Other,true
SKU-0019,Amla Murabba Bottle (450g),piece,145.0,Other,true
SKU-0020,AMLA MURABBA DRY (KG ),kg,400.0,Other,true
SKU-0021,Amla Murabba Jar (1kg),piece,285.0,Other,true
SKU-0022,Amla Pickle (Kg),kg,320.0,Pickle,true
SKU-0023,Amla Pickle Bottle (200g),piece,95.0,Pickle,true
SKU-0024,Amla Pickle Bottle (400g),piece,175.0,Pickle,true
SKU-0025,Amla Pickle Jar (800g),piece,295.0,Pickle,true
SKU-0026,Anardana Goli 220g,piece,143.0,Other,true
SKU-0027,Apple Ciderplus Vinegar,piece,245.0,Other,true
SKU-0028,Apple Murabba (Kg),kg,284.0,Other,true
SKU-0029,Apple Murabba Jar (1 Kg),kg,305.0,Other,true
SKU-0030,Aroura Amla Anardana (Kg ),kg,500.0,Other,true
SKU-0031,Aroura Amla Barfi 200G,piece,110.0,Sweets,true
